,bias,factuality,owner,source,owner_type,transgender,trans,gender,lgbtq,sex,marriage,school,sunak,right,alberta,greece,say,time,ghey,brianna,policy,member,college,board,mother,senate,utah,student,youth,rally,initiative,new,state,surgery,jibe,girl,people,game,legal,japan,orthodox,country,proposed,survey,rishi,affirming,plan,leader,activist,vote,community,change,diversity,recognition,support,questioned,kentucky,shooter,remark,inclusion,equity,group
36,Center,Mixed Factuality,Reach Plc,https://www.manchestereveningnews.co.uk/news/greater-manchester-news/brianna-gheys-mother-says-trans-28643497?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.2158598082936868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3093850742565047,0.0,0.3290261933568414,0.3290261933568414,0.0,0.0,0.0,0.0,0.33837746505537397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,,,MNA Media,https://www.shropshirestar.com/news/uk-news/2024/02/16/brianna-gheys-mother-says-trans-hate-targeting-daughter-on-x-is-horrendous/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.1961045741924567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28107051853778514,0.0,0.2989141056709417,0.2989141056709417,0.0,0.0,0.0,0.0,0.3074095600544816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Center,Mixed Factuality,Evgeny Lebedev,https://www.standard.co.uk/news/politics/keir-starmer-rishi-sunak-twitter-elon-musk-mind-b1139509.html?utm_source=ground.news&utm_medium=referral,Individual,0.0,0.1961045741924567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28107051853778514,0.0,0.2989141056709417,0.2989141056709417,0.0,0.0,0.0,0.0,0.3074095600544816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Center,Mixed Factuality,ITV Plc,https://www.itv.com/news/2024-02-15/esther-ghey-obvious-there-were-elements-of-trans-hate-in-briannas-death?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Lean Left,High Factuality,Warner Bros. Discovery,https://www.cnn.com/2024/02/15/us/utah-natalie-cline-censure-student-gender/index.html?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.17576412370516636,0.0,0.0,0.0,0.20011942127700946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23507402555608822,0.0,0.23832171132876626,0.0,0.0,0.24175507748029987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24927332141969888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Lean Left,High Factuality,Nonprofit Corporation,https://www.sltrib.com/news/politics/2024/02/15/legislature-eyes-censure-not/?utm_source=ground.news&utm_medium=referral,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.2414021917681593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28356760495750727,0.0,0.28748525802034275,0.0,0.0,0.29162689559271787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Lean Right,High Factuality,Sinclair Broadcast Group,https://kutv.com/news/crisis-in-the-classroom/education-board-member-natalie-cline-facing-2nd-censure-this-time-from-legislature?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235265719330789,0.0,0.0,0.0,0.250201417262265,0.0,0.25365809683894014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Center,High Factuality,E. W. Scripps Company,https://www.fox13now.com/news/politics/utah-house-runs-resolution-to-censure-natalie-cline?utm_source=ground.news&utm_medium=referral,Corporation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2687220814295512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,,,,https://www.cityweekly.net/utah/utah-gov-spencer-cox-says-school-board-was-right-to-punish-natalie-cline-predicts-a-donald-trump-win-in-november/Content?oid=21123751&utm_source=ground.news&utm_medium=referral,,0.0,0.0,0.0,0.0,0.0,0.0,0.17409638660269078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2073309453252672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,,,,https://ksltv.com/623066/utah-lawmakers-to-decide-on-formal-censure-of-school-board-member-natalie-cline/?utm_source=ground.news&utm_medium=referral,,0.0,0.0,0.0,0.0,0.0,0.0,0.2414021917681593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28356760495750727,0.0,0.28748525802034275,0.0,0.0,0.29162689559271787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Lean Left,High Factuality,Independent Media,https://apnews.com/article/alabama-legislature-17c121f045e08c1c753378ee6db1746c?utm_source=ground.news&utm_medium=referral,Independent,0.0,0.0,0.0,0.245980502662708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3246415619476778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3489046993665992,0.0,0.3489046993665992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Lean Left,High Factuality,The Walt Disney Company,https://abcnews.go.com/US/wireStory/alabama-senate-votes-change-archives-oversight-after-lgbtq-107247576?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.0,0.245980502662708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3246415619476778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3489046993665992,0.0,0.3489046993665992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Center,High Factuality,News-Press & Gazette Company,https://krdo.com/news/2024/02/14/alabama-senate-votes-to-change-archives-oversight-after-lgbtq-lecture/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.0,0.245980502662708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3246415619476778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3489046993665992,0.0,0.3489046993665992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Center,High Factuality,News-Press & Gazette Company,https://localnews8.com/news/ap-national/2024/02/14/alabama-senate-votes-to-change-archives-oversight-after-lgbtq-lecture/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.0,0.245980502662708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3246415619476778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3489046993665992,0.0,0.3489046993665992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Center,High Factuality,News-Press & Gazette Company,https://kvia.com/news/ap-national/2024/02/14/alabama-senate-votes-to-change-archives-oversight-after-lgbtq-lecture/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.0,0.245980502662708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3246415619476778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3489046993665992,0.0,0.3489046993665992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Center,High Factuality,,https://www.winnipegfreepress.com/world/2024/02/14/alabama-senate-votes-to-change-archives-oversight-after-lgbtq-lecture?utm_source=ground.news&utm_medium=referral,,0.0,0.0,0.0,0.245980502662708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3246415619476778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3489046993665992,0.0,0.3489046993665992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Right,Mixed Factuality,Tucker Carlson,https://dailycaller.com/2024/02/15/study-kaiser-mastectomy-transgender-12-13-year-old/?utm_source=ground.news&utm_medium=referral,Individual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20818745911289677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Right,Low Factuality,,https://www.bizpacreview.com/2024/02/15/little-noticed-study-reveals-12-to-14-year-olds-had-their-breasts-chopped-off-in-blue-state-healthcare-system-1437322/?utm_source=ground.news&utm_medium=referral,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21047099315836346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Lean Left,High Factuality,Independent Media,https://apnews.com/article/kentucky-colleges-diversity-equity-inclusion-legislature-35a95dc23ad73db77797c716aa0fc238?utm_source=ground.news&utm_medium=referral,Independent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31792266412689907,0.0,0.0,0.3325321809735837,0.0,0.0,0.0,0.0,0.33806061401251875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35738504933329196,0.0,0.0,0.0,0.36502230135108504,0.0,0.0,0.36502230135108504,0.36502230135108504,0.0
55,Center,High Factuality,Nexstar Media Group,https://thehill.com/homenews/race-politics/4467749-kentucky-senate-dei-public-universities/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30148764090146307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33094454855033684,0.0,0.0,0.0,0.0,0.0
56,Center,High Factuality,Advance Publications,https://spectrumnews1.com/ky/louisville/news/2024/02/14/dei-initiatives-kentucky-collleges?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35936247952717704,0.0,0.0,0.3758762823827768,0.0,0.0,0.0,0.0,0.38212532225613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41260134648306684,0.0,0.0,0.0,0.0,0.0
57,Lean Left,High Factuality,Hearst Communications,https://www.sfgate.com/news/article/diversity-equity-and-inclusion-initiatives-18666074.php?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31792266412689907,0.0,0.0,0.3325321809735837,0.0,0.0,0.0,0.0,0.33806061401251875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35738504933329196,0.0,0.0,0.0,0.36502230135108504,0.0,0.0,0.36502230135108504,0.36502230135108504,0.0
58,Lean Left,High Factuality,Mortimer Zuckerman,https://www.usnews.com/news/us/articles/2024-02-13/diversity-equity-and-inclusion-initiatives-limited-at-kentucky-colleges-under-senate-bill?utm_source=ground.news&utm_medium=referral,Individual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31792266412689907,0.0,0.0,0.3325321809735837,0.0,0.0,0.0,0.0,0.33806061401251875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35738504933329196,0.0,0.0,0.0,0.36502230135108504,0.0,0.0,0.36502230135108504,0.36502230135108504,0.0
59,Center,High Factuality,McClatchy,https://www.kentucky.com/news/local/education/article285472277.html?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2270771903368471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25028335360076626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26071824362924123,0.0,0.0,0.0,0.0,0.0
60,Center,High Factuality,Alden Global Capital,https://www.denverpost.com/2024/02/14/aclu-sues-childrens-hospital-colorado-gender-affirming-surgery-transgender/?utm_source=ground.news&utm_medium=referral,Private Equity,0.0,0.0,0.19069807653112952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2662469917467916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28499559119540735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Center,High Factuality,Tegna Inc.,https://www.9news.com/article/news/local/aclu-childrens-hospital-colorado-lawsuit/73-3e991c20-202b-4167-9d04-12198a2872cb?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.23655753308024574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3302746032017595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35353190351097474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Center,High Factuality,Nexstar Media Group,https://kdvr.com/news/local/transgender-patient-sues-childrens-hospital-colorado-surgery-denied/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.1667276484200154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291565803226882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Lean Left,High Factuality,,https://coloradosun.com/2024/02/14/transgender-patient-suing-childrens-hospital/?utm_source=ground.news&utm_medium=referral,,0.1449997455863462,0.0,0.1816175464103009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25356902523493696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27142486674328725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Lean Left,High Factuality,,https://www.register-herald.com/health/aclu-sues-children-s-hospital-colorado-for-halting-adult-gender-affirming-surgeries/article_2112468e-cb87-11ee-a4f9-2b272b9c30b8.html?utm_source=ground.news&utm_medium=referral,,0.0,0.0,0.19069807653112952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2662469917467916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28499559119540735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Lean Right,Mixed Factuality,Reach Plc,https://www.express.co.uk/news/uk/1866457/trans-teen-stabbed-rollerskating-harrow-london?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.15531802327452893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24465591215301494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2759039930001651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Lean Left,Mixed Factuality,Reach Plc,https://www.mirror.co.uk/news/uk-news/trans-girl-stabbed-14-times-32121710?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.14755166588373697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21148116208832032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23849207873623696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Lean Left,Mixed Factuality,Alfred Harmsworth (Barrister),https://metro.co.uk/2024/02/13/transgender-girl-stabbed-14-times-violent-birthday-party-attack-20274868/?utm_source=ground.news&utm_medium=referral,Independent,0.1630183969067946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2567854892310792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28958279078514626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Lean Right,Mixed Factuality,Press Holdings,https://www.telegraph.co.uk/news/2024/02/14/transgender-girl-stabbed-14-times-attempted-murder-harrow/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.1608030967948103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2532959633012249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2856475736499794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Lean Right,Mixed Factuality,Murdoch Family,https://www.thesun.co.uk/news/25924807/teen-weeps-court-charge-transgender-girl-stab/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.12931371429412264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20369409845374492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22971043135392477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Center,Mixed Factuality,Evgeny Lebedev,https://www.standard.co.uk/news/crime/transgender-harrow-stabbing-wealdstone-charged-attempted-murder-party-b1138889.html?utm_source=ground.news&utm_medium=referral,Individual,0.1595440246895223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25131268133631607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28341098182373603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Lean Left,Mixed Factuality,Scott Trust Limited,https://www.theguardian.com/society/2024/feb/14/canada-anti-transgender-danielle-smith-doug-ford-politics?utm_source=ground.news&utm_medium=referral,Independent,0.0,0.22458928747840723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33784530663010726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Lean Left,Mixed Factuality,Evgeny Lebedev,https://www.independent.co.uk/news/japan-ap-lgbtq-tokyo-support-b2496055.html?utm_source=ground.news&utm_medium=referral,Individual,0.0,0.0,0.0,0.24085101206269827,0.25081279020651254,0.0,0.0,0.0,0.2728485921923602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3288329372539664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3349640292670107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Lean Left,High Factuality,Independent Media,https://apnews.com/article/japan-lgbtq-samesex-marriage-lawsuit-bd8eb6d32d3346e0df54436bb6709fe2?utm_source=ground.news&utm_medium=referral,Independent,0.0,0.0,0.0,0.24085101206269827,0.25081279020651254,0.0,0.0,0.0,0.2728485921923602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3288329372539664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3349640292670107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Lean Left,High Factuality,The Walt Disney Company,https://abcnews.go.com/International/wireStory/valentines-day-lgbtq-activists-japan-call-same-sex-107221713?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.0,0.288114410723993,0.30003103841464623,0.0,0.0,0.0,0.3263910360314732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3933614691181087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40069569598020294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Lean Left,Mixed Factuality,Jeff Bezos,https://www.washingtonpost.com/lifestyle/2024/02/14/japan-lgbtq-samesex-marriage-lawsuit/43cf3508-cb35-11ee-aa8e-1e5794a4b2d6_story.html?utm_source=ground.news&utm_medium=referral,Individual,0.0,0.0,0.0,0.24085101206269827,0.25081279020651254,0.0,0.0,0.0,0.2728485921923602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3288329372539664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3349640292670107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
